layer,method,auc,aoc
instance_perturbation_module.neck.Rep_n4.block.2.rbr_1x1.conv,LRP-zplus,0.22828225804374946,0.8789813350493927
instance_perturbation_module.neck.Rep_n4.block.2.rbr_1x1.conv,activation,0.8823236811564324,0.9584698908074907
instance_perturbation_module.neck.Rep_n4.block.2.rbr_1x1.conv,random,0.11739230061016839,0.9060002918717848
instance_perturbation_module.neck.Rep_p5.block.1.rbr_1x1.conv,GradCAM,0.594945042428114,0.6771360885839021
instance_perturbation_module.neck.Rep_p5.block.1.rbr_1x1.conv,Gradient,0.608156082018807,0.6739167466660587
instance_perturbation_module.neck.Rep_p5.block.1.rbr_1x1.conv,LRP-eps,0.23635187239109276,0.6243592471975252
instance_perturbation_module.neck.Rep_p5.block.1.rbr_1x1.conv,LRP-gamma,0.20254048061009555,0.454623108867805
instance_perturbation_module.neck.Rep_p5.block.1.rbr_1x1.conv,LRP-zplus,0.3113192283775849,0.3399059702665355
instance_perturbation_module.neck.Rep_p5.block.1.rbr_1x1.conv,activation,0.5194206672184375,0.5323409398188176
instance_perturbation_module.neck.Rep_p5.block.1.rbr_1x1.conv,random,0.4762565071635255,0.4615477684059213
instance_perturbation_module.neck.Bifusion2.downsample.block.conv,GradCAM,0.641054772078492,0.6548918024902857
instance_perturbation_module.neck.Bifusion2.downsample.block.conv,Gradient,0.6613999142524358,0.570720870708284
instance_perturbation_module.neck.Bifusion2.downsample.block.conv,LRP-eps,0.58156193310522,0.48798157511714585
instance_perturbation_module.neck.Bifusion2.downsample.block.conv,LRP-gamma,0.5659527354307355,0.5277126795613029
instance_perturbation_module.neck.Bifusion2.downsample.block.conv,LRP-zplus,0.6696023896624692,0.6634924201699192
instance_perturbation_module.neck.Bifusion2.downsample.block.conv,activation,0.40657589933031624,0.6538851614895906
instance_perturbation_module.neck.Bifusion2.downsample.block.conv,random,0.3724209044807824,0.5478078163255543
instance_perturbation_module.neck.Rep_p4.conv1.rbr_1x1.conv,GradCAM,0.6124083898017398,0.7237971493423251
instance_perturbation_module.neck.Rep_p4.conv1.rbr_1x1.conv,Gradient,0.651451950083405,0.7459448425723674
instance_perturbation_module.neck.Rep_p4.conv1.rbr_1x1.conv,LRP-eps,0.3485521043655657,0.297325635516155
instance_perturbation_module.neck.Rep_p4.conv1.rbr_1x1.conv,LRP-gamma,0.30356219085276875,0.7718699152142564
instance_perturbation_module.neck.Rep_p4.conv1.rbr_1x1.conv,LRP-zplus,0.7642803426599458,0.44646511718280396
instance_perturbation_module.neck.Rep_p4.conv1.rbr_1x1.conv,activation,0.24020594895214228,0.34017585768644343
instance_perturbation_module.neck.Rep_p4.conv1.rbr_1x1.conv,random,0.20258906437666319,0.592952086548554
instance_perturbation_module.backbone.ERBlock_3.1.conv1.rbr_1x1.conv,GradCAM,0.7090908321709942,0.6121156225727596
instance_perturbation_module.backbone.ERBlock_3.1.conv1.rbr_1x1.conv,Gradient,0.7170756617368212,0.5513565890630627
instance_perturbation_module.backbone.ERBlock_3.1.conv1.rbr_1x1.conv,LRP-eps,0.535221704080627,0.48299558214120797
instance_perturbation_module.backbone.ERBlock_3.1.conv1.rbr_1x1.conv,LRP-gamma,0.4471181071921764,0.7261840919725254
instance_perturbation_module.backbone.ERBlock_3.1.conv1.rbr_1x1.conv,LRP-zplus,0.4770940653967573,0.6025531562584728
instance_perturbation_module.backbone.ERBlock_3.1.conv1.rbr_1x1.conv,activation,0.4641220962455549,0.5401314047632433
