method,auc_mean,auc_std,aoc_mean,aoc_std,n_layers
GradCAM,0.5450965817064869,0.266120424381211,0.755224724647411,0.14963009773466626,58
Gradient,0.5492523568043154,0.2638395170302689,0.7516219764336848,0.15412100261337686,58
LRP-eps,0.35883465529310155,0.2188399142053586,0.6906630684790782,0.1919619832846169,58
LRP-gamma,0.36061172062625724,0.19862985864982347,0.6243376124056835,0.21671290042345726,58
LRP-zplus,0.5097785564077705,0.25156680430934136,0.669818197083951,0.21401410378003288,58
activation,0.43129346101090293,0.23083327104521775,0.663421636921103,0.20088937493153747,58
random,0.3283400007235211,0.17884844710854467,0.6077724054137419,0.21752914314187136,58
