layer,method,auc,aoc
instance_perturbation_module.detect.stems.0.block.conv,activation,0.17303656035252346,0.2982555950073251
instance_perturbation_module.detect.stems.0.block.conv,random,0.21146989963522111,0.8459238449525354
instance_perturbation_module.backbone.ERBlock_5.0.rbr_dense.conv,GradCAM,0.7275963741824706,0.8707956750607285
instance_perturbation_module.backbone.ERBlock_5.0.rbr_dense.conv,Gradient,0.606307274319495,0.8905427269079053
instance_perturbation_module.backbone.ERBlock_5.0.rbr_dense.conv,LRP-eps,0.14767505992680796,0.8583749337224521
instance_perturbation_module.backbone.ERBlock_5.0.rbr_dense.conv,LRP-gamma,0.30215747615009,0.5764126553332755
instance_perturbation_module.backbone.ERBlock_5.0.rbr_dense.conv,LRP-zplus,0.4357493112746318,0.567143824046715
instance_perturbation_module.backbone.ERBlock_5.0.rbr_dense.conv,activation,0.6921513241978392,0.60158999894282
instance_perturbation_module.backbone.ERBlock_5.0.rbr_dense.conv,random,0.7308723296710493,0.41205064218011317
instance_perturbation_module.backbone.ERBlock_5.1.block.0.rbr_dense.conv,GradCAM,0.737839382626973,0.7220854296829363
instance_perturbation_module.backbone.ERBlock_5.1.block.0.rbr_dense.conv,Gradient,0.7042548804042417,0.6266380550524255
instance_perturbation_module.backbone.ERBlock_5.1.block.0.rbr_dense.conv,LRP-eps,0.19032409952321108,0.7089938226149878
instance_perturbation_module.backbone.ERBlock_5.1.block.0.rbr_dense.conv,LRP-gamma,0.39316813835202535,0.371883231164415
instance_perturbation_module.backbone.ERBlock_5.1.block.0.rbr_dense.conv,LRP-zplus,0.80893265697095,0.7310769184804086
instance_perturbation_module.backbone.ERBlock_5.1.block.0.rbr_dense.conv,activation,0.6476641142830031,0.6937917670142372
instance_perturbation_module.backbone.ERBlock_5.1.block.0.rbr_dense.conv,random,0.5932769477198635,0.4663808462592607
instance_perturbation_module.backbone.ERBlock_3.0.rbr_dense.conv,GradCAM,0.6342620994155601,0.7974882942018008
instance_perturbation_module.backbone.ERBlock_3.0.rbr_dense.conv,Gradient,0.6047792999322659,0.7474803912688202
instance_perturbation_module.backbone.ERBlock_3.0.rbr_dense.conv,LRP-eps,0.5911738988505126,0.6914740130878038
instance_perturbation_module.backbone.ERBlock_3.0.rbr_dense.conv,LRP-gamma,0.4963334375701903,0.73909744058857
instance_perturbation_module.backbone.ERBlock_3.0.rbr_dense.conv,LRP-zplus,0.489404255422367,0.6965947601562099
instance_perturbation_module.backbone.ERBlock_3.0.rbr_dense.conv,activation,0.36511625104290124,0.6019826297776953
instance_perturbation_module.backbone.ERBlock_3.0.rbr_dense.conv,random,0.42091228331910613,0.4858619826530885
instance_perturbation_module.neck.downsample1.block.conv,GradCAM,0.0,1.0
instance_perturbation_module.neck.downsample1.block.conv,Gradient,0.0,1.0
instance_perturbation_module.neck.downsample1.block.conv,LRP-eps,0.0,1.0
instance_perturbation_module.neck.downsample1.block.conv,LRP-gamma,0.0,1.0
instance_perturbation_module.neck.downsample1.block.conv,LRP-zplus,0.0,1.0
instance_perturbation_module.neck.downsample1.block.conv,activation,0.0,1.0
instance_perturbation_module.neck.downsample1.block.conv,random,0.0,1.0
instance_perturbation_module.detect.cls_preds.3,GradCAM,0.47219713653830336,0.5726353856705485
instance_perturbation_module.detect.cls_preds.3,Gradient,0.47219713653830336,0.5726353856705485
instance_perturbation_module.detect.cls_preds.3,LRP-eps,0.47219713653830336,0.5726353856705485
instance_perturbation_module.detect.cls_preds.3,LRP-gamma,0.47219713653830336,0.5726353856705485
instance_perturbation_module.detect.cls_preds.3,LRP-zplus,0.47219713653830336,0.5726353856705485
instance_perturbation_module.detect.cls_preds.3,activation,0.4273646143294515,0.5278028634616967
instance_perturbation_module.detect.cls_preds.3,random,0.47666349788110296,0.603768765617888
instance_perturbation_module.backbone.ERBlock_6.2.cspsppf.cv1.block.conv,GradCAM,0.7060111924761832,0.58015099446043
instance_perturbation_module.backbone.ERBlock_6.2.cspsppf.cv1.block.conv,Gradient,0.7190759587977378,0.5153635389994555
instance_perturbation_module.backbone.ERBlock_6.2.cspsppf.cv1.block.conv,LRP-eps,0.44931547954880124,0.5682406537772023
instance_perturbation_module.backbone.ERBlock_6.2.cspsppf.cv1.block.conv,LRP-gamma,0.16924176295402127,0.5712714520885999
instance_perturbation_module.backbone.ERBlock_6.2.cspsppf.cv1.block.conv,LRP-zplus,0.8071672792050489,0.6534791462220781
instance_perturbation_module.backbone.ERBlock_6.2.cspsppf.cv1.block.conv,activation,0.8001198278609477,0.6579974143913628
instance_perturbation_module.backbone.ERBlock_6.2.cspsppf.cv1.block.conv,random,0.5525284569015472,0.46002606540899577
instance_perturbation_module.neck.Rep_p4.block.1.rbr_dense.conv,GradCAM,0.3635308400502824,0.6826599242778485
