method,auc_mean,auc_std,aoc_mean,aoc_std,n_layers
GradCAM,0.4161872281027841,0.28468451431624214,0.7264550745345708,0.21639627320459837,79
Gradient,0.41476292554831107,0.28614166479108794,0.7215161939101409,0.21730778787761387,79
LRP-eps,0.30503626648189197,0.22044316836828104,0.6956063912659342,0.22716954483346816,79
LRP-gamma,0.2837883850208274,0.2107902802369583,0.6313315346425041,0.26753629137241086,79
LRP-zplus,0.4279516444673584,0.2931924694298689,0.696406161617005,0.226904199868009,79
activation,0.35862264768629887,0.2661274869451114,0.6828804894438368,0.23286343861793757,79
random,0.2958382425577588,0.2024272637413569,0.6707979201467255,0.22334093937481486,79
